lecture_id,area,latitude,longitude,user_id
5f266927e67b8fcf4340c236,서울,37.487935,126.857758,f5879c81ae59e818
5f266927e67b8fcf4340c094,서울,37.487935,126.857758,ac6cf46dad94e95b
5f266927e67b8fcf4340c091,부산,35.179554,129.0756416,bacccac4957eef56
5f36558829f38171335a8901,세종,36.56,127.278,8acbbe8b584f7c1d
5f266927e67b8fcf4340c087,서울,37.487935,126.857758,1e6b5bc813ebfe57
5f266927e67b8fcf4340c08d,부산,35.179554,129.0756416,9b6baff83dd19655
5f35370cf9b9ed3dee7f1b6d,서울,37.487935,126.857758,eee18c67ea37d1ac
5f2cfa581c0c783e4e825379,부산,35.179554,129.0756416,b88aad9457b63b71
5f266927e67b8fcf4340c835,서울,37.487935,126.857758,4c18dec7497666fd
5f35370cf9b9ed3dee7f1b6f,서울,37.487935,126.857758,4ec264938cd368a2
5f266927e67b8fcf4340c1289,서울,37.487935,126.857758,be75e2f2a4ae37ec
5f266927e67b8fcf4340c091,부산,35.179554,129.0756416,a2526dbe19138fe6
5f266927e67b8fcf4340c095,서울,37.487935,126.857758,4cce9db98ed7474a
5f2786faa76ce73f7c0a9497,대전,36.348315,127.390594,72fe51149dd5f398
5f2786faa76ce73f7c0a9495,강원,37.53151,129,d9d7ca9a68c8d45f
5f36558829f38171335a8900,세종,36.56,127.278,d5ed9eb813dc6a6e
5f35370cf9b9ed3dee7f1b76,대전,36.348315,127.390594,dc4a127579e2b411
5f2cfa581c0c783e4e825378,부산,35.179554,129.0756416,81268e89a6868816
5f35370cf9b9ed3dee7f1b73,대전,36.348315,127.390594,17967a73d8ca8877
5f36558829f38171335a8900,세종,36.56,127.278,751faf2e238c4297
5f266927e67b8fcf4340c828,서울,37.487935,126.857758,cd1417deaaaaeddb
5f266927e67b8fcf4340c466,서울,37.487935,126.857758,3cf534e12b3e63ed
5f35370cf9b9ed3dee7f1b72,서울,37.487935,126.857758,ff2dbd13cbe4a5a4
5f35370cf9b9ed3dee7f1b6e,서울,37.487935,126.857758,51578527145abb9a
5f266927e67b8fcf4340c966,서울,37.487935,126.857758,4821a2d42597f15d
5f2786faa76ce73f7c0a949b,대전,36.348315,127.390594,2fe28eb5e3332fd7
5f266927e67b8fcf4340c1772,서울,37.487935,126.857758,d183f7c5c2cb1351
5f266927e67b8fcf4340c913,서울,37.487935,126.857758,6dc6cd34e42afb92
5f266927e67b8fcf4340c423,서울,37.487935,126.857758,968511c1cc2a1d15
5f35370cf9b9ed3dee7f1b76,대전,35.194012,127.390594,148ca7d41669e97e
5f2786faa76ce73f7c0a9491,제주,33.4996213,126.5311884,a49af6488bbb7f87
5f35370cf9b9ed3dee7f1b74,대전,36.348315,127.390594,223dd2c8e931ee21
5f266927e67b8fcf4340c095,서울,37.487935,126.857758,34aae8ae1a482df1
5f266927e67b8fcf4340c08e,부산,35.179554,129.0756416,9486b76513ad37af
5f35370cf9b9ed3dee7f1b76,대전,36.348315,127.390594,985f15878b4752b9
5f2cfa581c0c783e4e825371,서울,37.487935,126.857758,3e181912bf49a9a5
5f36558829f38171335a88fb,광주,36.084621,126.951141,f931cc25261ede7c
5f2786faa76ce73f7c0a949b,대전,36.348315,127.390594,b55e1617aad36aa3
5f2cfa581c0c783e4e825374,경기,37.546755,127.203827,1cf74dda1bab8298
5f266927e67b8fcf4340c276,서울,37.487935,126.857758,34234c691fee85b4
5f2786faa76ce73f7c0a9499,대전,36.348315,127.390594,bc3a565692f6ad1f
5f2cfa581c0c783e4e82536e,서울,37.487935,126.857758,e6ea6734d41e1edb
5f2786faa76ce73f7c0a9492,광주,36.084621,126.951141,d7e346a92ab8acb1
5f266927e67b8fcf4340c095,서울,37.487935,126.857758,74836eb14d994ae8
5f2cfa581c0c783e4e82536c,대전,36.348315,127.390594,6299b6ea76a25726
5f2786faa76ce73f7c0a9494,광주,36.084621,126.951141,1adc8f7239b8fc84
5f2cfa581c0c783e4e825371,서울,37.487935,126.857758,7264f14bfec9a4d6
5f2cfa581c0c783e4e825374,경기,37.546755,127.203827,47617d85a43befb1
5f266927e67b8fcf4340c092,서울,37.487935,126.857758,1c45a83a87ffa286
5f35370cf9b9ed3dee7f1b6f,서울,37.487935,126.857758,871eda12c9b68fd3
5f266927e67b8fcf4340c1443,서울,37.487935,126.857758,9917d2a357357768
5f2786faa76ce73f7c0a949b,대전,36.348315,127.390594,3475baf7e85d4316
5f266927e67b8fcf4340c1096,서울,37.487935,126.857758,db553737ba717372
5f266927e67b8fcf4340c08f,부산,35.179554,129.0756416,e3b9cf31b2fd72a3
5f266927e67b8fcf4340c831,서울,37.487935,126.857758,4951a6631e1b1a6b
5f36558829f38171335a88ff,세종,36.56,127.278,29f74a5a6641eaf6
5f266927e67b8fcf4340c08a,경기,37.546755,127.203827,2ad41bb82ef1e131
5f36558829f38171335a8909,전북,35.574683,126.852264,f175ba1b957bfe8a
5f2cfa581c0c783e4e82536d,서울,37.487935,126.857758,2afe4cc268ffa734
5f266927e67b8fcf4340c1700,서울,37.487935,126.857758,1198c69e3ffb3afd
5f266927e67b8fcf4340c613,서울,37.487935,126.857758,7f5eda3dfbdcbc99
5f2cfa581c0c783e4e825379,부산,35.179554,129.0756416,84836e324abae8c9
5f36558829f38171335a88f9,충북,37.885693,127.733917,be52753e62fbc85f
5f36558829f38171335a88ff,세종,36.56,127.278,3e6f7b2877c7aa8d
5f2cfa581c0c783e4e825374,경기,37.546755,127.203827,5e29c7def47974bf
5f266927e67b8fcf4340c757,서울,37.487935,126.857758,251d893231215f97
5f266927e67b8fcf4340c608,서울,37.487935,126.857758,87b5619aa6fae9d6
5f2786faa76ce73f7c0a9498,대전,36.348315,127.390594,aac9f88fd27a7482
5f266927e67b8fcf4340c08f,부산,35.179554,129.0756416,7b2d7deb176c5734
5f2786faa76ce73f7c0a949a,대전,36.348315,127.390594,ac935ff8c52fc57c
5f266927e67b8fcf4340c1220,서울,37.487935,126.857758,d44d8de1ce499676
5f266927e67b8fcf4340c213,서울,37.487935,126.857758,888df58e5d1d1497
5f266927e67b8fcf4340c355,서울,37.487935,126.857758,c934d1682f5e223f
5f266927e67b8fcf4340c827,서울,37.487935,126.857758,33b856964bef8548
5f2cfa581c0c783e4e825373,경기,37.546755,127.203827,25dbc98dc865e9f5
5f2786faa76ce73f7c0a9499,대전,36.348315,127.390594,46cfdc48b2357ae8
5f35370cf9b9ed3dee7f1b7a,광주,36.084621,126.951141,eebd7d11155ea34d
5f266927e67b8fcf4340c08f,부산,35.179554,129.0756416,622597e2522a5934
5f2cfa581c0c783e4e825379,부산,35.179554,129.0756416,ada686bd531d787f
5f266927e67b8fcf4340c1173,서울,37.487935,126.857758,66aba9bc8d332b57
5f2cfa581c0c783e4e825372,서울,37.487935,126.857758,93c3cc613cf4c134
5f266927e67b8fcf4340c1238,서울,37.487935,126.857758,733d5ed2e98deae2
5f266927e67b8fcf4340c08f,부산,35.179554,129.0756416,73bda35c9635dd14
5f36558829f38171335a88fd,세종,36.56,127.278,8f66d9715ca59e5e
5f2cfa581c0c783e4e82536f,서울,37.487935,126.857758,ba2c24b3d5b86798
5f35370cf9b9ed3dee7f1b6a,부산,35.179554,129.0756416,fa257fc3d17e7e89
5f266927e67b8fcf4340c08c,경기,37.546755,127.203827,19f76e43734abcc3
5f2786faa76ce73f7c0a949b,대전,36.348315,127.390594,6bad8531b5126e7e
5f2786faa76ce73f7c0a9495,강원,37.53151,129,47ed18b751a3b2c8
5f266927e67b8fcf4340c309,서울,37.487935,126.857758,2ca9a6bc92d5d2a7
5f2786faa76ce73f7c0a9493,광주,36.084621,126.951141,6de447e41ff975e1
5f266927e67b8fcf4340c875,서울,37.487935,126.857758,d2c6cc999a21c82c
5f266927e67b8fcf4340c08f,부산,35.179554,129.0756416,674a7819a118a74f
5f2786faa76ce73f7c0a9497,대전,36.348315,127.390594,2114f62ed2277177
5f2786faa76ce73f7c0a9491,제주,33.4996213,126.5311884,21df54cda74c29a7
5f266927e67b8fcf4340c722,서울,37.487935,126.857758,858b8ffa2e8c9bde
5f35370cf9b9ed3dee7f1b72,대전,36.348315,127.390594,73fb89599aa5c5b8
5f35370cf9b9ed3dee7f1b7a,광주,36.084621,126.951141,7b954ac9f3721415
5f2786faa76ce73f7c0a9499,대전,36.348315,127.390594,94543c64252e71b2
5f2cfa581c0c783e4e82536e,서울,37.487935,126.857758,ec4fb61b2a762dc3
5f2786faa76ce73f7c0a9490,서울,37.487935,126.857758,164da6347bdb5c66
5f266927e67b8fcf4340c087,서울,37.487935,126.857758,77965b75496c688e
5f36558829f38171335a88fa,충북,37.885693,127.733917,39eead1f3b74c336
5f266927e67b8fcf4340c1130,서울,37.487935,126.857758,264cd11fc142fd5d
5f2786faa76ce73f7c0a9491,제주,33.4996213,126.5311884,f6e58496f77449af
5f36558829f38171335a8900,세종,36.56,127.278,a8e529e61dcbabad
5f2cfa581c0c783e4e825377,부산,35.179554,129.0756416,d3d1ecde3958399e
5f2786faa76ce73f7c0a9497,대전,36.348315,127.390594,9c1f3769dadf2fcc
5f266927e67b8fcf4340c092,서울,37.487935,126.857758,8e1cf69a461fb356
5f2cfa581c0c783e4e825378,부산,35.179554,129.0756416,a96f8b1996d38bd9
5f266927e67b8fcf4340c08c,경기,37.546755,127.203827,bbdbb8a2358e4a9c
5f2cfa581c0c783e4e825372,서울,37.487935,126.857758,56b427fbe8a7886b
