user_id,web,app,sql,web
78ff837c7cea9f33,0,0,0,
2987aa87d23c9e3d,0,0,0,
23182525e9996864,1,1,1,
ffb6913842d617a5,0,0,0,
2c6822e7e833dc95,0,0,0,
97a2e533327f1bd7,0,0,0,
5d28c8e7333493ef,0,0,0,
72dee38e42d11a2d,0,0,0,
92aaa19c55ec56d2,0,0,0,
3bc95e678bbb5ec6,0,0,0,
e88d3cf424894672,0,0,0,
fa6c6f5374287c72,0,0,0,
eb72331d78c14729,0,0,0,
f14a11423e1cfaca,0,0,0,
2833c1dbbadff48e,1,1,1,
8494c732473413d6,0,0,0,
ce961cc9cda41d41,0,1,0,
4a6c5ea9c5f1cf36,0,0,0,
6a77a94fae4cf8ed,0,0,0,
52b7c244877e6516,0,0,0,
b656d4446bd92626,0,0,0,
d78ecad3c153e485,0,0,0,
38f8f8c56a79b1f6,0,0,0,
93fedf19f39cea1d,0,1,0,
2ebeaddc431d1e52,0,0,0,
f3cabbac24e1e438,0,0,0,
d9c77877b19db82c,0,0,0,
ce1c3dd9d64438c3,0,0,0,
9c27a3349195d282,0,0,0,
c27596a42ad2ad3d,0,0,0,
9799473dbf35d23d,0,1,0,
9b8364ad9f38c13a,0,0,0,
67ba5a8e52ee4f36,0,0,0,
9b7483b28e967b3a,0,0,0,
8a1b44a3f586dc42,0,0,0,
9edc3aa1324f4686,0,0,0,
e39f9c5ca7a1b132,0,0,0,
537a998884eb392a,0,0,0,
126ab3d4f4962741,0,0,0,
734ed6adbe4852da,0,0,0,
e317986a7e96545f,0,0,0,
cdac53bda28453a8,0,0,0,
fb8beedf5cc9b191,0,0,0,
cd1347d39c398dce,0,0,0,
2a4fec31be337aa3,0,0,0,
eb9a93d8b8fa46aa,0,0,0,
be7cc1f75c7a8a34,0,0,0,
4def4af61d27c879,0,0,0,
babf46b36c5979a5,0,0,0,
9deafd8e86c421f5,0,0,0,
1ef397cad2d2f2e1,0,0,0,
ab86be36b193e5e2,0,1,0,
f81bb6624f674e19,0,0,0,
